sample_size,ban_year,county_id,n,att,attempt
5,2014,CA,46,-0.006072213,31
6,2014,CA,48,-0.004530173,31
7,2014,CA,49,-0.004459289,31
8,2014,CA,49,-0.00652103,31
9,2014,CA,50,-0.006522838,31
10,2014,CA,50,-0.008005903,31
3,2014,CA,22,0.01252956,32
4,2014,CA,41,-0.002965726,32
5,2014,CA,48,-0.002451633,32
6,2014,CA,49,-0.005306748,32
7,2014,CA,46,-0.004341427,32
8,2014,CA,49,-0.005453255,32
9,2014,CA,50,-0.006786058,32
10,2014,CA,50,-0.007255577,32
3,2014,CA,24,0.00968483,33
4,2014,CA,40,0.002442186,33
5,2014,CA,46,-0.002457297,33
6,2014,CA,48,-0.00505947,33
7,2014,CA,50,-0.004367264,33
8,2014,CA,49,-0.005973699,33
9,2014,CA,50,-0.008131176,33
10,2014,CA,49,-0.007666364,33
3,2014,CA,22,0.00968483,34
4,2014,CA,40,-0.001615695,34
5,2014,CA,46,-0.00526557,34
6,2014,CA,48,-0.001736586,34
7,2014,CA,50,-0.004922028,34
8,2014,CA,50,-0.005587572,34
9,2014,CA,50,-0.005231217,34
10,2014,CA,50,-0.008402958,34
3,2014,CA,23,0.010509357,35
4,2014,CA,42,-0.000588046,35
5,2014,CA,44,-0.001104232,35
6,2014,CA,49,-0.004797443,35
7,2014,CA,48,-0.006662657,35
8,2014,CA,50,-0.007187881,35
9,2014,CA,50,-0.00506764,35
10,2014,CA,50,-0.00705659,35
3,2014,CA,24,0.011519458,36
4,2014,CA,44,-0.003392831,36
5,2014,CA,48,-0.004010238,36
6,2014,CA,49,-0.006426554,36
7,2014,CA,49,-0.006281444,36
8,2014,CA,50,-0.00533013,36
9,2014,CA,49,-0.008251067,36
10,2014,CA,50,-0.008321705,36
3,2014,CA,25,0.005939614,37
4,2014,CA,40,0.006409335,37
5,2014,CA,47,-0.003810453,37
6,2014,CA,49,-0.004598932,37
7,2014,CA,50,-0.004200555,37
8,2014,CA,50,-0.006332471,37
9,2014,CA,50,-0.005510369,37
10,2014,CA,50,-0.009037635,37
3,2014,CA,21,0.00968483,38
4,2014,CA,40,0.002442186,38
5,2014,CA,49,-0.003882208,38
6,2014,CA,50,-0.006398383,38
7,2014,CA,50,-0.002974233,38
8,2014,CA,50,-0.005111407,38
9,2014,CA,50,-0.007621135,38
10,2014,CA,50,-0.007296865,38
3,2014,CA,24,0.01252956,39
4,2014,CA,42,0.000284031,39
5,2014,CA,45,-0.004331684,39
6,2014,CA,48,-0.006182431,39
7,2014,CA,50,-0.006372213,39
8,2014,CA,50,-0.005517321,39
9,2014,CA,50,-0.00617209,39
10,2014,CA,50,-0.008734431,39
3,2014,CA,22,0.012821776,40
4,2014,CA,41,0.00087863,40
5,2014,CA,48,-0.003734108,40
6,2014,CA,50,-0.002342684,40
7,2014,CA,50,-0.003571237,40
8,2014,CA,50,-0.007099977,40
9,2014,CA,50,-0.007510421,40
10,2014,CA,50,-0.008884097,40
3,2014,CA,25,0.008860304,41
4,2014,CA,38,-0.001192759,41
5,2014,CA,46,-0.005675301,41
6,2014,CA,49,-0.007139265,41
7,2014,CA,49,-0.004941813,41
8,2014,CA,50,-0.004787786,41
9,2014,CA,50,-0.007831249,41
10,2014,CA,50,-0.009445871,41
3,2014,CA,25,0.013113993,42
4,2014,CA,45,0.002310553,42
5,2014,CA,49,-0.004493544,42
