sample_size,ban_year,county_id,n,att,attempt
9,2014,MA,49,-0.079205873,80
10,2014,MA,50,-0.063027903,80
3,2014,MA,15,-0.067914552,81
4,2014,MA,41,-0.062299851,81
5,2014,MA,46,-0.068295593,81
6,2014,MA,50,-0.079900511,81
7,2014,MA,50,-0.08143075,81
8,2014,MA,50,-0.067297422,81
9,2014,MA,49,-0.062333903,81
10,2014,MA,50,-0.065459961,81
3,2014,MA,16,-0.067914552,82
4,2014,MA,34,-0.092036528,82
5,2014,MA,47,-0.058208944,82
6,2014,MA,48,-0.064642822,82
7,2014,MA,49,-0.058152813,82
8,2014,MA,49,-0.071835103,82
9,2014,MA,50,-0.077315817,82
10,2014,MA,49,-0.063474892,82
3,2014,MA,15,-0.067914552,83
4,2014,MA,37,-0.068686056,83
5,2014,MA,47,-0.058208944,83
6,2014,MA,49,-0.065964865,83
7,2014,MA,49,-0.076092393,83
8,2014,MA,50,-0.075719399,83
9,2014,MA,50,-0.060895876,83
10,2014,MA,49,-0.061102737,83
3,2014,MA,14,-0.067914552,84
4,2014,MA,35,-0.063582654,84
5,2014,MA,43,-0.0751575,84
6,2014,MA,49,-0.066943487,84
7,2014,MA,50,-0.048631191,84
8,2014,MA,50,-0.071120904,84
9,2014,MA,50,-0.068763575,84
10,2014,MA,50,-0.061080274,84
3,2014,MA,15,-0.067914552,85
4,2014,MA,37,-0.062299851,85
5,2014,MA,46,-0.068629841,85
6,2014,MA,48,-0.070307009,85
7,2014,MA,49,-0.063233532,85
8,2014,MA,50,-0.078029074,85
9,2014,MA,50,-0.063652433,85
10,2014,MA,50,-0.074034008,85
3,2014,MA,20,-0.067914552,86
4,2014,MA,37,-0.062299851,86
5,2014,MA,46,-0.058208944,86
6,2014,MA,49,-0.057914386,86
7,2014,MA,49,-0.050206555,86
8,2014,MA,50,-0.061141901,86
9,2014,MA,50,-0.078421999,86
10,2014,MA,50,-0.074950636,86
3,2014,MA,15,-0.067914552,87
4,2014,MA,30,-0.092036528,87
5,2014,MA,44,-0.087329713,87
6,2014,MA,50,-0.054895517,87
7,2014,MA,48,-0.059817014,87
8,2014,MA,50,-0.062562665,87
9,2014,MA,49,-0.061349449,87
10,2014,MA,50,-0.073555267,87
3,2014,MA,18,-0.067914552,88
4,2014,MA,32,-0.068686056,88
5,2014,MA,44,-0.078745681,88
6,2014,MA,49,-0.065964865,88
7,2014,MA,49,-0.076073297,88
8,2014,MA,49,-0.066315189,88
9,2014,MA,50,-0.066350732,88
10,2014,MA,50,-0.072453977,88
3,2014,MA,14,-0.067914552,89
4,2014,MA,32,-0.092036528,89
5,2014,MA,46,-0.058208944,89
6,2014,MA,50,-0.064657791,89
7,2014,MA,50,-0.075495456,89
8,2014,MA,50,-0.076533321,89
9,2014,MA,49,-0.058240385,89
10,2014,MA,50,-0.075395264,89
3,2014,MA,16,-0.067914552,90
4,2014,MA,40,-0.062299851,90
5,2014,MA,46,-0.057555257,90
6,2014,MA,47,-0.07569118,90
7,2014,MA,50,-0.062319533,90
8,2014,MA,49,-0.066315189,90
9,2014,MA,50,-0.065344966,90
10,2014,MA,50,-0.06226101,90
3,2014,MA,18,-0.067914552,91
4,2014,MA,37,-0.068686056,91
5,2014,MA,44,-0.087329713,91
6,2014,MA,47,-0.058922822,91
7,2014,MA,49,-0.055035832,91
8,2014,MA,50,-0.058895055,91
9,2014,MA,49,-0.068425388,91
10,2014,MA,50,-0.067545244,91
