GeoName,State,County,LineCode,Description,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Escambia, AL",AL,Escambia,3,Per capita personal income (dollars) 2/,Dollars,13428,13909,14493,15120,15793,16525,17141,17688,18117,19128,19395,19098,19942,21252,22756,23673,24653,25404,25500,26891,27999,29209,29585,29922,30718,30787,32114,32997,34432
"Etowah, AL",AL,Etowah,1,Personal income (thousands of dollars),Thousands of dollars,1499998,1614531,1692700,1793727,1856191,1944422,2041488,2121976,2168049,2247874,2301346,2377845,2459130,2593638,2681992,2778771,2953236,3044883,3037862,3169689,3227845,3292259,3285699,3404875,3537329,3607098,3714857,3821755,3919481
"Etowah, AL",AL,Etowah,2,Population (persons) 1/,Number of persons,100365,100950,101310,102213,102342,103063,104129,104367,104002,103286,102976,102988,103025,103080,103174,103528,103893,104206,104239,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268
"Etowah, AL",AL,Etowah,3,Per capita personal income (dollars) 2/,Dollars,14945,15993,16708,17549,18137,18866,19605,20332,20846,21764,22348,23089,23869,25161,25995,26841,28426,29220,29143,30344,30927,31572,31629,32929,34344,35070,36064,37245,38326
"Fayette, AL",AL,Fayette,1,Personal income (thousands of dollars),Thousands of dollars,241594,262189,278839,288046,306816,317805,333445,339117,347751,354017,362302,353942,367675,388522,399065,406706,425756,439831,439558,454802,468140,486603,497592,509211,540118,541514,556048,576254,594454
"Fayette, AL",AL,Fayette,2,Population (persons) 1/,Number of persons,18168,18192,18166,18221,18232,18329,18416,18465,18496,18512,18384,18278,18178,18022,18030,17767,17523,17541,17310,17229,17052,16945,16824,16772,16696,16563,16466,16445,16302
"Fayette, AL",AL,Fayette,3,Per capita personal income (dollars) 2/,Dollars,13298,14412,15349,15808,16828,17339,18106,18365,18801,19124,19707,19364,20226,21558,22133,22891,24297,25074,25393,26397,27454,28717,29576,30361,32350,32694,33769,35041,36465
"Franklin, AL",AL,Franklin,1,Personal income (thousands of dollars),Thousands of dollars,397599,443366,466480,494903,535444,566252,576369,590816,629303,633714,668492,662814,684520,740560,773120,779537,829216,863893,851610,891839,895610,901633,911157,948289,1003980,993470,1042100,1086487,1106841
"Franklin, AL",AL,Franklin,2,Population (persons) 1/,Number of persons,28126,28678,29121,29528,29949,30311,30676,30921,31163,31242,31190,30891,30874,30768,30968,31134,31004,31459,31589,31746,31776,31690,31553,31559,31515,31611,31542,31298,31362
"Franklin, AL",AL,Franklin,3,Per capita personal income (dollars) 2/,Dollars,14136,15460,16019,16760,17879,18681,18789,19107,20194,20284,21433,21457,22171,24069,24965,25038,26745,27461,26959,28093,28185,28452,28877,30048,31857,31428,33038,34714,35292
"Geneva, AL",AL,Geneva,1,Personal income (thousands of dollars),Thousands of dollars,352792,382672,404935,424878,447807,462086,472623,505955,528031,522536,565116,574796,598498,619421,658575,662371,701759,735471,752411,774536,786267,792848,820420,830153,874807,875485,905832,934529,968033
"Geneva, AL",AL,Geneva,2,Population (persons) 1/,Number of persons,24183,24208,24489,24761,24975,25136,25293,25365,25585,25740,25565,25580,25702,25772,25988,26271,26322,26646,26653,26777,26756,26924,26677,26593,26631,26494,26385,26306,26271
"Geneva, AL",AL,Geneva,3,Per capita personal income (dollars) 2/,Dollars,14588,15808,16535,17159,17930,18383,18686,19947,20638,20301,22105,22471,23286,24035,25342,25213,26661,27602,28230,28925,29387,29448,30754,31217,32849,33045,34331,35525,36848
"Greene, AL",AL,Greene,1,Personal income (thousands of dollars),Thousands of dollars,116805,121860,128142,132038,141177,145784,157549,159985,170055,178017,185669,190811,202046,215634,228936,238958,245744,247788,248123,239939,246016,244521,268586,248410,260851,264303,264173,260721,270791
"Greene, AL",AL,Greene,2,Population (persons) 1/,Number of persons,10257,10271,10216,10133,10082,10142,10130,10067,10004,9902,9866,9893,9805,9686,9675,9361,9385,9359,9182,8991,8903,8848,8748,8584,8508,8482,8310,8209,8111
"Greene, AL",AL,Greene,3,Per capita personal income (dollars) 2/,Dollars,11388,11864,12543,13030,14003,14374,15553,15892,16999,17978,18819,19287,20606,22262,23663,25527,26185,26476,27023,26687,27633,27636,30703,28939,30659,31160,31790,31760,33386
"Hale, AL",AL,Hale,1,Personal income (thousands of dollars),Thousands of dollars,186331,201760,214503,224501,238569,242963,248502,263742,285768,300134,313709,328314,355715,374816,391507,420485,433175,456638,458338,456188,466918,476477,493235,485887,515093,520905,530495,539605,559776
"Hale, AL",AL,Hale,2,Population (persons) 1/,Number of persons,15736,15945,16025,16125,16279,16449,16549,16862,16982,18194,17868,17376,17116,16765,16622,16427,16418,16260,16025,15745,15361,15364,15246,15046,15015,14828,14801,14749,14651
"Hale, AL",AL,Hale,3,Per capita personal income (dollars) 2/,Dollars,11841,12653,13386,13923,14655,14771,15016,15641,16828,16496,17557,18895,20783,22357,23554,25597,26384,28084,28601,28974,30396,31013,32352,32293,34305,35130,35842,36586,38207
"Henry, AL",AL,Henry,1,Personal income (thousands of dollars),Thousands of dollars,224631,245566,242291,263127,274109,282693,299459,305029,320365,322293,353009,372148,385955,401193,440151,453838,488732,518824,519781,533935,566690,572880,602881,615849,648856,669234,700255,728803,748459
"Henry, AL",AL,Henry,2,Population (persons) 1/,Number of persons,15684,15665,15794,15898,15875,15794,15961,16093,16129,16341,16358,16447,16563,16692,16752,16953,17108,17129,17243,17296,17377,17153,17129,17079,17101,17072,17115,17173,17205
"Henry, AL",AL,Henry,3,Per capita personal income (dollars) 2/,Dollars,14322,15676,15341,16551,17267,17899,18762,18954,19863,19723,21580,22627,23302,24035,26275,26770,28567,30289,30144,30870,32611,33398,35197,36059,37943,39201,40915,42439,43502
